type,batch_size,time,Reparam
cpu,1,0.012909412384033203,No
cpu,128,1.4721843957901002,No
cpu,1,0.010970544815063477,Yes
cpu,128,1.126216197013855,Yes
gpu,1,0.001973891258239746,No
gpu,128,0.029325175285339355,No
gpu,1,0.0017230510711669922,Yes
gpu,128,0.028056836128234862,Yes
