,type,batch_size,time,Reparam
0,cpu,1,0.00978846549987793,No
1,cpu,128,0.4693277359008789,No
2,cpu,1,0.008043718338012696,Yes
3,cpu,128,0.33465189933776857,Yes
4,gpu,1,0.0047787904739379885,No
5,gpu,128,0.012357807159423828,No
6,gpu,1,0.0032822370529174806,Yes
7,gpu,128,0.006102848052978516,Yes
